 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
 250.00 MeV   2.015E+00  9.694E-04  553.34 um    22.35 um     3.67 um  
 275.00 MeV   1.866E+00  8.896E-04  651.76 um    26.36 um     4.26 um  
 300.00 MeV   1.739E+00  8.225E-04  757.70 um    30.34 um     4.90 um  
 325.00 MeV   1.628E+00  7.651E-04  871.12 um    34.35 um     5.59 um  
 350.00 MeV   1.531E+00  7.156E-04  991.98 um    38.40 um     6.31 um  
 375.00 MeV   1.445E+00  6.723E-04    1.12 mm    42.50 um     7.08 um  
 400.00 MeV   1.368E+00  6.342E-04    1.26 mm    46.66 um     7.88 um  
 450.00 MeV   1.234E+00  5.700E-04    1.55 mm    62.55 um     9.63 um  
 500.00 MeV   1.125E+00  5.181E-04    1.87 mm    77.61 um    11.55 um  
 550.00 MeV   1.041E+00  4.751E-04    2.23 mm    92.32 um    13.64 um  
 600.00 MeV   9.704E-01  4.390E-04    2.61 mm   106.87 um    15.88 um  
 650.00 MeV   9.096E-01  4.082E-04    3.01 mm   121.42 um    18.27 um  
 700.00 MeV   8.568E-01  3.816E-04    3.44 mm   136.03 um    20.82 um  
 800.00 MeV   7.696E-01  3.379E-04    4.38 mm   190.42 um    26.33 um  
 900.00 MeV   7.005E-01  3.035E-04    5.42 mm   240.78 um    32.40 um  
   1.00 GeV   6.444E-01  2.757E-04    6.56 mm   289.68 um    39.00 um  
   1.10 GeV   5.979E-01  2.527E-04    7.79 mm   338.10 um    46.11 um  
   1.20 GeV   5.586E-01  2.334E-04    9.11 mm   386.50 um    53.71 um  
   1.30 GeV   5.251E-01  2.169E-04   10.52 mm   435.11 um    61.78 um  
   1.40 GeV   4.960E-01  2.027E-04   12.02 mm   484.06 um    70.32 um  
   1.50 GeV   4.707E-01  1.903E-04   13.60 mm   533.41 um    79.29 um  
   1.60 GeV   4.483E-01  1.794E-04   15.26 mm   583.17 um    88.69 um  
   1.70 GeV   4.284E-01  1.697E-04   17.00 mm   633.36 um    98.51 um  
   1.80 GeV   4.107E-01  1.610E-04   18.82 mm   683.97 um   108.72 um  
   2.00 GeV   3.802E-01  1.462E-04   22.68 mm   876.13 um   130.32 um  
   2.25 GeV   3.494E-01  1.312E-04   27.92 mm     1.15 mm   159.35 um  
   2.50 GeV   3.245E-01  1.191E-04   33.59 mm     1.40 mm   190.49 um  
   2.75 GeV   3.040E-01  1.091E-04   39.66 mm     1.64 mm   223.58 um  
   3.00 GeV   2.868E-01  1.007E-04   46.12 mm     1.88 mm   258.47 um  
   3.25 GeV   2.722E-01  9.355E-05   52.95 mm     2.12 mm   295.05 um  
   3.50 GeV   2.596E-01  8.737E-05   60.13 mm     2.35 mm   333.18 um  
   3.75 GeV   2.486E-01  8.199E-05   67.65 mm     2.58 mm   372.77 um  
   4.00 GeV   2.390E-01  7.725E-05   75.48 mm     2.81 mm   413.69 um  
   4.50 GeV   2.229E-01  6.930E-05   92.02 mm     3.66 mm   499.25 um  
   5.00 GeV   2.100E-01  6.287E-05  109.66 mm     4.43 mm   589.15 um  
   5.50 GeV   1.995E-01  5.757E-05  128.31 mm     5.16 mm   682.80 um  
   6.00 GeV   1.907E-01  5.312E-05  147.88 mm     5.85 mm   779.67 um  
   6.50 GeV   1.833E-01  4.933E-05  168.30 mm     6.53 mm   879.34 um  
   7.00 GeV   1.770E-01  4.606E-05  189.49 mm     7.19 mm   981.39 um  
   8.00 GeV   1.668E-01  4.071E-05  233.93 mm     9.55 mm     1.19 mm  
   9.00 GeV   1.590E-01  3.650E-05  280.82 mm    11.63 mm     1.41 mm  
  10.00 GeV   1.528E-01  3.310E-05  329.79 mm    13.54 mm     1.63 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  1.7189E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
